"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"popDensity[1]",47.3077563010621,0.145105947630996,12.5612301588098,29.0477176772418,38.6003499412203,45.4197481354528,53.6626225305828,77.6284161866108,7493.65886894963,0.999876920127334
"popDensity[2]",46.7870999197698,0.290963371271581,18.9420434706672,20.2213800457463,33.2750510327001,43.4957372884942,56.3559647777819,91.7325232273944,4238.15677478163,0.999754568864805
"popDensity[3]",17.76266950399,0.0956458527584031,7.28743840916762,7.21250619171235,12.6349361945974,16.6145055837363,21.5520254132751,34.997610667204,5805.20428792764,1.00000252796998
"popDensity[4]",80.0157152371645,0.584736548380355,41.0624937351165,33.2120756836484,54.0218443072703,70.4155281780211,94.5951970985985,181.777798538382,4931.39921412185,1.00015073476558
"popDensity[5]",32.8913665244116,0.0838257471659609,7.2819722166213,21.5615134955219,27.7327504466498,31.9862408526363,36.9121996315667,49.5099810950955,7546.45816780375,1.00017777027563
"popDensity[6]",13.2166315214485,0.144815175690273,8.52715000914769,4.90566307366845,8.15359512810934,11.0601878264226,15.3465981998175,34.832966609151,3467.20607800112,1.000014784079
"popDensity[7]",12.40549504878,0.0592595357693478,4.87668202404233,5.67929067841312,9.05493876869706,11.5150240609431,14.7493925012599,24.3790275223647,6772.24074276341,1.00038317419346
"popDensity[8]",15.1456450933605,0.0770209975320034,6.07139529013426,6.62004762946562,10.9038797212468,14.1285175715746,18.1725161820759,29.5284141888864,6213.82103118483,1.00050303817124
"popDensity[9]",25.7484654279976,0.196017711799667,14.9099874431268,6.86328346227117,16.2799202124249,22.9834003233451,31.4600869272342,61.9310179694742,5785.80676633192,1.00022507369239
"popDensity[10]",33.2313537834414,0.105808158823234,8.99240503171553,19.9955679241384,26.9658565303963,31.9509355597116,37.9403009505709,54.9379321782297,7222.92999031139,1.00030145236584
"popDensity[11]",133.242354347319,1.27863003389631,76.0724182431075,55.1390571721603,88.4201250856573,116.085955119296,155.649427019635,319.159509274923,3539.68521171126,1.00046653892993
