"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_q_a[1]",0.255532282027887,0.0116190719403947,0.960027227436688,-1.65936358313526,-0.339432061387681,0.247001795732439,0.846232145615647,2.18370389921513,6826.91065516436,0.999823494475682
"log_q_a[2]",-0.0978426425448875,0.0117488672268017,0.970221125886069,-2.05751069776653,-0.702465027392546,-0.102076404573157,0.503996232098455,1.86745384390637,6819.45176518943,0.999813058927175
"log_q_a[3]",-0.304960796569608,0.011803259939154,0.98445129542598,-2.25900498463645,-0.918859832098513,-0.306903723299753,0.314118420177248,1.66857969088078,6956.39968085414,0.999985877883671
"log_q_a[4]",-0.799839586404808,0.0121617489772528,1.00247330060078,-2.79034915951364,-1.41707361098062,-0.807446875174194,-0.192951710539849,1.22945381890976,6794.43829625942,0.999792925091758
"log_q_a[5]",0.607068263065343,0.0119414752098091,0.989396626074918,-1.35767458962376,-0.00581880013467659,0.593811249820103,1.21568236129344,2.63571830328594,6864.75255377805,0.999993721122378
"log_q_a[6]",-0.712104640271957,0.0118104857978438,0.968341887768089,-2.66696864096726,-1.31638347616226,-0.715178183746466,-0.112328490536266,1.24516582721474,6722.36228264775,0.999803459969708
"log_q_a[7]",0.287134265184099,0.0116419475165314,0.961939534995938,-1.62157894701804,-0.303876179613726,0.284349310911752,0.87758687444548,2.22327988109584,6827.22592038774,0.999844031821676
"log_q_a[8]",1.12927280837224,0.0119407764955219,0.978562976474591,-0.848587565641495,0.520574006654405,1.13119712585997,1.72019613795449,3.12035510718449,6716.02682254881,0.999814082575463
"log_q_a[9]",-0.841345043475274,0.0119532174296834,0.99872383797774,-2.82626490920851,-1.47709479068811,-0.837275484386744,-0.222246739376747,1.15793265948995,6981.05714488638,0.999929370314825
"log_q_a[10]",-0.0494795319903077,0.0118683204316294,0.982094791920481,-2.00190839656117,-0.660153275010626,-0.0547693465070025,0.568448870726093,1.88754906841689,6847.44084993382,0.999711375302761
"log_q_a[11]",0.572349101026369,0.0119376100526817,0.993651460289706,-1.41779168816934,-0.048814853981187,0.57249293739083,1.19271727186558,2.54650056235366,6928.40670821584,0.99980259433122
"log_q_a[12]",-0.0844724805260767,0.0118084777756765,0.970516220479078,-2.04366482958871,-0.690348978012591,-0.0909977254761378,0.510251695554887,1.84512226401085,6754.88194698534,0.999861404578841
"log_q_a[13]",-0.10803437395169,0.0117752976659304,0.985727208356563,-2.07226854962142,-0.726467179204296,-0.107645776430585,0.516534305170905,1.82634979428709,7007.60638564647,0.999719747133031
"log_q_a[14]",0.259258297996224,0.0124247775907779,1.03578566345408,-1.83006063876407,-0.393966492732842,0.26743710434744,0.894737059215538,2.36885490922336,6949.64377845458,0.999937904407265
"log_q_a[15]",-0.169211702181845,0.0120606243335609,1.00026788255958,-2.16293449833901,-0.792904792322844,-0.165350397594754,0.449743149828166,1.86224193327864,6878.48933566456,0.999841491889213
"log_q_a[16]",0.392173840556376,0.0120497405114815,0.99838982436953,-1.59461911577452,-0.225381628709091,0.381416107283046,1.00906886577296,2.38798020312328,6865.0689405532,0.999726553666657
"log_q_a[17]",0.176328154000131,0.0117025056412767,0.969524525781633,-1.76265179355416,-0.422293754957293,0.179307810774757,0.774270917399784,2.12056875856041,6863.72510066167,0.999702959827555
"log_q_a[18]",-0.425060173154797,0.0119150923385494,0.996514809490825,-2.37838672361313,-1.0552516865724,-0.433255081540105,0.188166038313108,1.55568639197396,6994.75793808215,0.999757823623535
"log_q_d[1]",0.573809062293823,0.0121840984283783,0.996625216695069,-1.40576432091626,-0.0474112038818472,0.565956098168306,1.19341251550999,2.55494671157874,6690.78301178285,1.00002481285459
"log_q_d[2]",0.163722489924947,0.0119664375051747,0.994794633541704,-1.78221706226158,-0.460230974806215,0.165408450714259,0.766862864359721,2.13808394612423,6910.93985661934,0.999905976668121
"log_q_d[3]",-0.346158657985413,0.0119658578238618,0.998570881223848,-2.32566145017312,-0.966796227544017,-0.340436567083065,0.275597698271586,1.63494052697559,6964.18210230009,0.999934715866019
"log_q_d[4]",-0.303445306196822,0.0126967185066607,1.03007095497562,-2.3648564602237,-0.944076622976072,-0.305505675046746,0.334555532225182,1.74179191735614,6581.90031834185,0.999957173522769
"log_q_d[5]",1.19807575606783,0.0127659630234444,1.00628278884665,-0.803142062679078,0.576733166566482,1.1922352665873,1.81524352948963,3.18117594738073,6213.45167687387,1.0000446714535
"log_q_d[6]",0.265837802233368,0.0120154503024635,1.01358771368913,-1.73307647735076,-0.372191128688731,0.259934712985481,0.897157780402352,2.26270480922272,7116.1086797704,0.999848151573511
"log_q_d[7]",-0.0791660329168034,0.0122324919810643,1.02834423201011,-2.0967987173552,-0.720807511267483,-0.0841254155017546,0.565458624268932,1.92441037243388,7067.19628188672,0.999864799783857
